Boosted Classification Trees ,ada
Regularized Discriminant Analysis ,rda
Relaxed Lasso ,relaxo
Random Forest ,rf
Random Ferns ,rFerns
Factor-Based Linear Discriminant Analysis ,RFlda
Random Forest Rule-Based Model ,rfRules
Ridge Regression ,ridge
Robust Linear Model ,rlm
Robust Mixture Discriminant Analysis ,rmda
ROC-Based Classifier ,rocc
Rotation Forest ,rotationForest
Rotation Forest ,rotationForestCp
CART ,rpart
CART ,rpart1SE
CART ,rpart2
Cost-Sensitive CART ,rpartCost
Quantile Regression with LASSO penalty ,rqlasso
Non-Convex Penalized Quantile Regression ,rqnc
Regularized Random Forest ,RRF
Regularized Random Forest ,RRFglobal
Robust Regularized Linear Discriminant Analysis ,rrlda
Robust SIMCA ,RSimca
Relevance Vector Machines with Linear Kernel ,rvmLinear
Relevance Vector Machines with Polynomial Kernel ,rvmPoly
Relevance Vector Machines with Radial Basis Function Kernel ,rvmRadial
Subtractive Clustering and Fuzzy c-Means Rules ,SBC
Shrinkage Discriminant Analysis ,sda
Stepwise Diagonal Linear Discriminant Analysis ,sddaLDA
Stepwise Diagonal Quadratic Discriminant Analysis ,sddaQDA
Sparse Distance Weighted Discrimination ,sdwd
Partial Least Squares ,simpls
Fuzzy Rules Using the Structural Learning Algorithm on Vague Environment ,SLAVE
Stabilized Linear Discriminant Analysis ,slda
Sparse Mixture Discriminant Analysis ,smda
Stabilized Nearest Neighbor Classifier ,snn
Sparse Linear Discriminant Analysis ,sparseLDA
Spike and Slab Regression ,spikeslab
Sparse Partial Least Squares ,spls
Linear Discriminant Analysis with Stepwise Feature Selection ,stepLDA
Quadratic Discriminant Analysis with Stepwise Feature Selection ,stepQDA
Supervised Principal Component Analysis ,superpc
Support Vector Machines with Boundrange String Kernel ,svmBoundrangeString
Support Vector Machines with Exponential String Kernel ,svmExpoString
Support Vector Machines with Linear Kernel ,svmLinear
Support Vector Machines with Linear Kernel ,svmLinear2
Support Vector Machines with Polynomial Kernel ,svmPoly
Support Vector Machines with Radial Basis Function Kernel ,svmRadial
Support Vector Machines with Radial Basis Function Kernel ,svmRadialCost
Support Vector Machines with Radial Basis Function Kernel ,svmRadialSigma
Support Vector Machines with Class Weights ,svmRadialWeights
Support Vector Machines with Spectrum String Kernel ,svmSpectrumString
Tree Augmented Naive Bayes Classifier ,tan
Tree Augmented Naive Bayes Classifier Structure Learner Wrapper ,tanSearch
Bagged CART ,treebag
Variational Bayesian Multinomial Probit Regression ,vbmpRadial
Partial Least Squares ,widekernelpls
Wang and Mendel Fuzzy Rules ,WM
Weighted Subspace Random Forest ,wsrf
eXtreme Gradient Boosting ,xgbLinear
eXtreme Gradient Boosting ,xgbTree
Self-Organizing Maps ,xyf
